Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,,Fund Code,Department Code,Division Code
FY20,Expense,Police,Administration Services,General Fund,Other Services and Charges,Other Services.Other Services,40275,,,101,305,30500
FY20,Expense,Police,Building ,General Fund,Other Services and Charges,Other Services.Other Services,38357,,,101,305,30610
FY20,Expense,City Manager,City Manager,General Fund,Other Services and Charges,Other Services.Other Services,25570,,,101,172,17200
FY20,Expense,Finance,Accounting,General Fund,Other Services and Charges,Other Services.Other Services,9858,,,101,201,20100
FY20,Expense,District Court,District Court,General Fund,Other Services and Charges,Other Services.Other Services,19200,,,101,136,13600
FY20,Expense,City Council,City Council,General Fund,Other Services and Charges,Other Services.Other Services,51950,,,101,101,10100
FY20,Expense,Assessor,Assessor,General Fund,Other Services and Charges,Other Services.Other Services,14805,,,101,209,20900
FY20,Expense,City Clerk,City Clerk - Election,General Fund,Other Services and Charges,Other Services.Other Services,10800,,,101,215,19100
FY20,Expense,City Clerk,City Clerk,General Fund,Other Services and Charges,Other Services.Other Services,2200,,,101,215,21500
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Other Services and Charges,Other Services.Other Services,65460,,,591,591,55300
FY20,Expense,Water Utility,T and  D - Gezon Station,Water Fund,Other Services and Charges,Other Services.Other Services,200,,,591,591,55900
FY20,Expense,Wastewater Utility,Industrial Pretreatment,Sewer Fund,Other Services and Charges,Other Services.Other Services,4400,,,590,590,54700
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Other Services and Charges,Other Services.Other Services,39525,,,590,590,54300
FY20,Expense,Public Works,Transmission,Sewer Fund,Other Services and Charges,Other Services.Other Services,19685,,,590,441,54200
FY20,Expense,Water Utility,T and D - Meters,Water Fund,Other Services and Charges,Other Services.Other Services,1000,,,591,591,56500
FY20,Expense,Water Utility,Customer Accounting,Water Fund,Other Services and Charges,Other Services.Other Services,82550,,,591,591,56900
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Other Services and Charges,Other Services.Other Services,5280,,,661,441,58200
FY20,Expense,Public Works,Building,Motor Pool Fund,Other Services and Charges,Other Services.Other Services,1000,,,661,441,58300
FY20,Expense,Permits,Permits,Building Inspection Fund,Other Services and Charges,Other Services.Other Services,4000,,,249,371,37100
FY20,Expense,Community Outreach Programs,Community Outreach Programs,General Fund,Other Services and Charges,Other Services.Other Services,10000,,,101,753,75300
FY20,Expense,Permits,Code Enforcement - CDBG Eligible,Building Inspection Fund,Other Services and Charges,Other Services.Other Services,684,,,249,371,37220
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Other Services and Charges,Other Services.Other Services,1436,,,249,371,37210
FY20,Expense,Permits,Rental Program,Building Inspection Fund,Other Services and Charges,Other Services.Other Services,1311,,,249,371,37300
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Other Services.Other Services,1000,,,203,441,47400
FY20,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Other Services and Charges,Other Services.Other Services,8400,,,101,337,33901
FY20,Expense,Water Utility,Pumping&Treatment - Lab Services,Water Fund,Other Services and Charges,Other Services.Other Services,4860,,,591,591,55310
FY20,Expense,Wastewater Utility,Treatment - Lab Services,Sewer Fund,Other Services and Charges,Other Services.Other Services,14975,,,590,590,54310
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Other Services and Charges,Other Services.Other Services,2000,,,400,441,17500
FY20,Expense,Planning,Rehabilitation 2020,Community Development Fund,Other Services and Charges,Other Services.Other Services,3925,,,256,400,69120
FY20,Expense,Planning,Administration 2020,Community Development Fund,Other Services and Charges,Other Services.Other Services,700,,,256,400,17520
FY20,Expense,General Government,Employee Hospital Ins,Health Insurance Fund,Other Services and Charges,Other Services.Other Services,15500,,,683,000,85200
FY20,Expense,Fire,Fighting - Paid on Call,General Fund,Other Services and Charges,Other Services.Other Services,5500,,,101,337,33902
FY20,Expense,Facilities,Facilities Maintenance,Library Maint & Capital Fund,Other Services and Charges,Other Services.Other Services,250,,,401,267,26700
FY20,Expense,Attorney,Legal Services,General Fund,Other Services and Charges,Other Services.Other Services,8700,,,101,210,21000
FY20,Expense,Police,Training,General Fund,Other Services and Charges,Other Services.Tuition Reimbursement,40400,,,101,305,32000
FY20,Expense,Fire,Administration Services,General Fund,Other Services and Charges,Other Services.Tuition Reimbursement,41000,,,101,337,33700
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Other Services and Charges,Other Services.Dog Park,5180,,,208,752,75600
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Other Services and Charges,Other Services.Veterans Memorial Park,700,,,101,267,26700
FY20,Expense,General Government,Employee Hospital Ins,Health Insurance Fund,Other Services and Charges,Other Services.Flex Spending Admin Fee,3600,,,683,000,85200
FY20,Expense,Planning,CDBG Activities 2020,Community Development Fund,Other Services and Charges,Other Services.Demolition,20760,,,256,400,69220
FY20,Expense,Planning,CDBG Activities 2020,Community Development Fund,Other Services and Charges,Other Services.Fair Housing Services,11000,,,256,400,69220
FY20,Expense,Planning,Administration 2020,Community Development Fund,Other Services and Charges,Other Services.HUD Continuum of Care Admin,5000,,,256,400,17520
FY20,Expense,Planning,CDBG Activities 2020,Community Development Fund,Other Services and Charges,Other Services.Rehab Loans,229457,,,256,400,69220
FY20,Expense,Planning,CDBG Activities 2019,Community Development Fund,Other Services and Charges,Other Services.Rehab Loans,35772,,,256,400,69219
FY20,Expense,Planning,CDBG Activities 2019,Community Development Fund,Other Services and Charges,Other Services.Home Repair Services,25000,,,256,400,69219
FY20,Expense,Planning,CDBG Activities 2020,Community Development Fund,Other Services and Charges,Other Services.Home Repair Services,55760,,,256,400,69220
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Other Services and Charges,Other Services.Friendly Travelers Program,12315,,,208,752,75800
FY20,Expense,Planning,CDBG Activities 2020,Community Development Fund,Other Services and Charges,Other Services.Salvation Army Rental Assistance,15000,,,256,400,69220
FY20,Expense,Planning,CDBG Activities 2020,Community Development Fund,Other Services and Charges,Other Services.ICCF Financial Assistance,15000,,,256,400,69220
FY20,Expense,Planning,CDBG Activities 2020,Community Development Fund,Other Services and Charges,Other Services.Family Promise-Rehousing ,29000,,,256,400,69220
FY20,Expense,Planning,CDBG Activities 2020,Community Development Fund,Other Services and Charges,Other Services.Family Promise-Stabilization,19000,,,256,400,69220
FY20,Expense,Planning,CDBG Activities 2019,Community Development Fund,Other Services and Charges,Other Services.Commercial Rehab Loans,30000,,,256,400,69219
FY20,Expense,Planning,CDBG Activities 2020,Community Development Fund,Other Services and Charges,Other Services.Code Enforcement,60760,,,256,400,69220
FY20,Expense,Police,Patrol,General Fund,Other Services and Charges,Impounds and Towing.Impounds and Towing,3000,,,101,305,31500
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Other Services and Charges,Housing Demolition.Housing Demolition,10000,,,249,371,37210
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Other Services and Charges,Project Costs.Project Costs,1200,,,208,752,75800
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Other Services and Charges,Project Costs.Project Costs,5000,,,208,752,75600
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Capital Outlay,Property.Easements,1000,,,400,441,17500
FY20,Expense,Public Works,Storm Sewer Contruction,Capital Improvement Fund,Capital Outlay,Capital Outlay.Storm Sewer,540000,,,400,441,45200
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Capital Outlay,Capital Outlay.Major Street Construction,300000,,,202,441,46300
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Capital Outlay,Capital Outlay.Street Resurfacing,4470000,,,202,441,46300
FY20,Expense,Public Works,Capital Outlay,Sewer Fund,Capital Outlay,Capital Outlay.Sanitary Sewer,1100000,,,590,441,54400
FY20,Expense,Public Works,Capital Outlay,Capital Improvement Fund,Capital Outlay,Capital Outlay.Watermains,3000000,,,400,441,57300
FY20,Expense,Police,Patrol,Drug Law Enforcement Fund,Capital Outlay,Capital Outlay.State Grant Funds ,40000,,,265,305,31500
FY20,Expense,Police,Patrol,Drug Law Enforcement Fund,Capital Outlay,Capital Outlay.Federal Justice Grant ,5000,,,265,305,31500
FY20,Expense,Police,Administration Services,General Fund,Capital Outlay,Capital Outlay.Computer System,50000,,,101,305,30500
FY20,Expense,Wastewater Utility,GVRBA Operations-Land Appl,Sewer Fund,Capital Outlay,Capital Outlay.Capital Outlay,20000,,,590,590,54800
FY20,Expense,General Government,Capital Outlay,Capital Projects Revolving Fund,Capital Outlay,Capital Outlay.Capital Outlay,150000,,,800,000,57300
FY20,Expense,Facilities,Parks and Rec Facility,Library Maint & Capital Fund,Capital Outlay,Capital Outlay.Capital Outlay,83000,,,401,267,75600
FY20,Expense,Facilities,Facilities Maintenance,Library Maint & Capital Fund,Capital Outlay,Capital Outlay.Capital Outlay,36500,,,401,267,26700
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Capital Outlay,Capital Outlay.Capital Outlay,75000,,,101,267,26700
FY20,Expense,Police,Building ,General Fund,Capital Outlay,Capital Outlay.Capital Outlay,50000,,,101,305,30610
FY20,Expense,District Court,Building,General Fund,Capital Outlay,Capital Outlay.Capital Outlay,75000,,,101,136,13610
FY20,Expense,Fire,Buildings,General Fund,Capital Outlay,Capital Outlay.Capital Outlay,364500,,,101,337,33800
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Capital Outlay,Capital Outlay.Senior Center Imp,15280,,,208,752,75800
FY20,Expense,Public Works,Capital Outlay - Depr and Resrve,Motor Pool - Depreciation Res,Capital Outlay,Capital Outlay.Buildings,130000,,,662,441,58500
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Capital Outlay,Capital Outlay.Improvements Other Than Building,50000,,,230,441,44300
FY20,Expense,Permits,Permits,Building Inspection Fund,Capital Outlay,Capital Outlay.Computer Equipment,583,,,249,371,37100
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Capital Outlay,Capital Outlay.Computer Equipment,250,,,249,371,37210
FY20,Expense,Permits,Rental Program,Building Inspection Fund,Capital Outlay,Capital Outlay.Computer Equipment,200,,,249,371,37300
FY20,Expense,Public Works,Capital Outlay - Depr and Resrve,Motor Pool - Depreciation Res,Capital Outlay,Capital Outlay.Computer Equipment,12460,,,662,441,58500
FY20,Expense,Information Technology,Information Technology,General Fund,Capital Outlay,Capital Outlay.Computer Equipment,50000,,,101,258,25800
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Capital Outlay,Capital Outlay.Computer Equipment,4440,,,208,752,75200
FY20,Expense,Public Works,Capital Outlay - Depr and Resrve,Motor Pool - Depreciation Res,Capital Outlay,Capital Outlay.Vehicles,1028500,,,662,441,58500
FY20,Expense,Wastewater Utility,Capital Outlay,Sewer Fund,Capital Outlay,Capital Outlay.Plant Expansion Phase 2,4110000,,,590,590,54400
FY20,Expense,Water Utility,Capital Outlay,Water Fund,Capital Outlay,Capital Outlay.Plant Expansion Phase 2,6000000,,,591,591,57300
FY20,Expense,Public Works,Capital Outlay,Sewer Fund,Capital Outlay,Capital Outlay.Auto Meter Infrastructure,350000,,,590,441,54400
FY20,Expense,Public Works,Capital Outlay,Water Fund,Capital Outlay,Capital Outlay.Auto Meter Infrastructure,350000,,,591,441,57300
FY20,Expense,Public Works,Capital Outlay - Depr and Resrve,Motor Pool - Depreciation Res,Capital Outlay,Capital Outlay.Equipment,107000,,,662,441,58500
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Capital Outlay,Capital Outlay.Tree Planting,10000,,,208,752,75600
FY20,Expense,Water Utility,Ottawa County,Water Fund,Debt Service,Bond Payments.Capital Retirement,3340119,,,591,591,57000
FY20,Expense,Water Utility,Revenue Bonds,Water Fund,Debt Service,Bond Payments.2010 Series,555000,,,591,591,92500
FY20,Expense,Water Utility,Revenue Bonds,Water Fund,Debt Service,Bond Payments.Series 2011 - SRF Holland,130735,,,591,591,92500
FY20,Expense,Wastewater Utility,Revenue Bonds,Sewer Fund,Debt Service,Bond Payments.Series 2012 Refunding ,250000,,,590,590,92500
FY20,Expense,Water Utility,Revenue Bonds,Water Fund,Debt Service,Bond Payments.Series 2012 Refunding ,290000,,,591,591,92500
FY20,Expense,Wastewater Utility,Revenue Bonds,Sewer Fund,Debt Service,Bond Payments.Series 2013 Refunding,40000,,,590,590,92500
FY20,Expense,Water Utility,Revenue Bonds,Water Fund,Debt Service,Bond Payments.Series 2013 Refunding,65000,,,591,591,92500
FY20,Expense,Water Utility,Revenue Bonds,Water Fund,Debt Service,Bond Payments.Series 2014 Refunding,290000,,,591,591,92500
FY20,Expense,Wastewater Utility,Revenue Bonds,Sewer Fund,Debt Service,Bond Payments.Series 2015 Refunding,2150000,,,590,590,92500
FY20,Expense,Water Utility,Revenue Bonds,Water Fund,Debt Service,Bond Payments.Series 2016 Refunding,1240000,,,591,591,92500
FY20,Expense,Wastewater Utility,Revenue Bonds,Sewer Fund,Debt Service,Bond Payments.Series 2018 Refunding,115000,,,590,590,92500
FY20,Expense,Water Utility,Revenue Bonds,Water Fund,Debt Service,Amortize Bond.2010 Expense,23621,,,591,591,92500
FY20,Expense,Water Utility,Revenue Bonds,Water Fund,Debt Service,Amortize Bond.2012 Refunding,-19990,,,591,591,92500
FY20,Expense,Wastewater Utility,Revenue Bonds,Sewer Fund,Debt Service,Amortize Bond.2012 Refunding,1060,,,590,590,92500
FY20,Expense,Wastewater Utility,Revenue Bonds,Sewer Fund,Debt Service,Amortize Bond.2013 Refunding,453,,,590,590,92500
FY20,Expense,Water Utility,Revenue Bonds,Water Fund,Debt Service,Amortize Bond.2013 Refunding,766,,,591,591,92500
FY20,Expense,Water Utility,Revenue Bonds,Water Fund,Debt Service,Amortize Bond.2014 Refunding,10175,,,591,591,92500
FY20,Expense,Wastewater Utility,Revenue Bonds,Sewer Fund,Debt Service,Amortize Bond.2015 Refunding,12065,,,590,590,92500
FY20,Expense,Water Utility,Revenue Bonds,Water Fund,Debt Service,Amortize Bond.2016 Refunding,-191377,,,591,591,92500
